id,name,ar_name
2,Freelancing,عمل حر
3,Marketing,تسويق
5,Production,إنتاج
6,Strategy & Planning,إستراتيجية وتخطيط
7,Information Technology,تكنولوجيا المعلومات
8,Human Resources,موارد بشرية
9,Support Services,خدمات الدعم
10,Administration,الإدارة
11,Operations,العمليات
19,Finance & Analysis,التمويل والتحليل
26,Research & Development,البحث والتطوير
33,Sales / Business Development,مبيعات وتطوير أعمال
34,Maintenance,أعمال صيانة
35,Risk Management,إدارة المخاطر
36,Accounting & Auditing,المحاسبة والتدقيق
