id ,eng_name ,ar_name
1,Afrikaans ,الإفريقية
2,Albanian ,الألبانية
3,Amharic ,الأمهرية
4,Arabic ,العربية
5,Aramaic ,الآرامية
6,Armenian ,الأرمنية
7,Azerbaijani ,الآذربيجانية
8,Bengali ,البنغالية
9,Bosnian ,البوسنية
10,Bulgarian ,البلغارية
11,Cantonese ,الكانتونية
12,Chinese ,الصينية
13,Croatian ,الكرواتية
14,Czech ,التشيكية
15,Danish ,الدانماركية
16,Dutch ,الهولندية
17,English ,الإنجليزية
18,Estonian ,الإستونية
19,Filipino ,الفلبينية
20,Fininish ,الفنلندية
21,French ,الفرنسية
22,German ,الألمانية
23,Greek ,اليونانية
24,Gujrati ,جوجرات
25,Hebrew ,العبرية
26,Hindi ,الهندية
27,Hungarian ,الهنغارية
28,Indonesian ,الإندونيسية
29,Italian ,الإيطالية
30,Japanese ,اليابانية
31,Kannada ,الكانادا
32,Korean ,الكورية
33,Kurdish ,الكردية
34,Latvian ,اللاتفية
35,Lithuanian ,الليتوانية
36,Malay ,الملايو
37,Malayalam ,المالايالامية
38,Mandarin ,الماندارينية
39,Marathi ,الماراثية
40,Norwegian ,النرويجية
41,Persian ,الفارسية
42,Polish ,البولندية
43,Portugese ,البرتغالية
44,Punjabi ,البنجابية
45,Pushto ,البوشتية
46,Romanian ,الرومانية
47,Russian ,الروسية
48,Serbian ,الصربية
49,Sign ,لغة الإشارة
50,Slovak ,السلوفاكية
51,Slovenian ,السلوفانية
52,Spanish ,الأسبانية
53,Swahili ,السواحلية
54,Swedish ,السويدية
55,Syriac ,السريانية
56,Tagalog ,التغالوغ
57,Tamil ,التاميل
58,Telugu ,التيلجو
59,Thai ,التايلاندية
60,Turkish ,التركية
61,Turkoman ,التركمانية
62,Ukrainian ,الأوكرانية
63,Urdu ,الأوردو
64,Vietnamese ,الفيتنامية
65,Welsh ,الويلزية
200,Sindhi ,السندية
201,Gujarati ,الغوجاراتية
202,Konkani ,الكونكانية
